type,subject,format,question,answer
toss-up,,Short Answer,10) EARTH AND SPACE Short Answer What adjective describes an air parcel when it reaches a relative humidity of 100%?,SATURATED
bonus,,Short Answer,"10) EARTH AND SPACE Short Answer In fluvial systems, what is the name of the crescent- shaped lake that is formed when a meander of a river is cut off from the main channel?","OXBOW LAKE (ACCEPT: OXBOW, HORSESHOE LAKE)"
toss-up,math,Short Answer,"If [the absolute value of the quantity 200 minus x equals 10], what are the possible values for x? |200−𝑥|= 10",190 AND 210
bonus,math,Short Answer,Solve the inequality -5 + |p +2| ≥ 0 [negative 5 plus the absolute value of the quantity p plus 2 is greater than or equal to 0].,p ≤ -7 OR p ≥ 3 (MUST GIVE BOTH ANSWERS)
toss-up,energy,Multiple Choice,Which of the following is NOT an example of a biomass energy source? W) Coal X) Wood Y) Grain Z) Sugar,W) COAL
bonus,energy,Multiple Choice,"In the summer, why is it best to do high energy consumption tasks, such as laundry and dishwashing, after 8 pm? W) It will increase the reliability and accessibility of electricity for critical needs in the electrical grid X) It takes more energy to run a dishwasher during the day Y) More energy is produced at night Z) Hot water heaters are programmed to operate at maximum efficiency after 8 pm","W) IT WILL INCREASE THE RELIABILITY AND ACCESSIBILITY OF ELECTRICITY
FOR CRITICAL NEEDS IN THE ELECTRICAL GRID"
toss-up,,Multiple Choice,"13) LIFE SCIENCE Multiple Choice Of the following habitats, which is the most likely to have the highest amount of biodiversity? W) Desert X) Tropical rainforest Y) Deciduous forest [di-SIJ-oo-uhs] Z) Prairie",X) TROPICAL RAINFOREST
bonus,,Multiple Choice,13) LIFE SCIENCE Multiple Choice Which of the following cats is the largest? W) African lion X) Snow leopard Y) Siberian tiger Z) King cheetah,Y) SIBERIAN TIGER
toss-up,math,Short Answer,"An isosceles triangle has a perimeter of 62 inches. If the base of the triangle is 18 inches, what is the length of each of the congruent legs?",22
bonus,math,Short Answer,"What is the standard form of the equation of the line that passes through (-2, 4) and is parallel to y = (-3/2)x + 3?",3x + 2y = 2 (DO NOT ACCEPT: -(3/2)x + 1)
toss-up,,Multiple Choice,15) LIFE SCIENCE Multiple Choice Which of the following is the least likely to be a characteristic of an invasive species? W) It will outcompete native species X) It will only survive under a narrow range of environmental conditions Y) It will have a longer reproductive cycle than native species Z) It will do economic and/or environmental harm in a new environment,"X) IT WILL ONLY SURVIVE UNDER A NARROW RANGE OF ENVIRONMENTAL
CONDITIONS"
bonus,,Multiple Choice,15) LIFE SCIENCE Multiple Choice Which of the following is an example of a jawless fish? W) Sea horse X) Lamprey Y) Shark Z) Lungfish,X) LAMPREY
toss-up,energy,Multiple Choice,"16) PHYSICAL SCIENCE Multiple Choice Einstein concluded that E = mc2, where m is mass and c is speed of light. According to this formula, which of the following statements is true? W) All objects have energy only if they are moving at the speed of light X) An object at rest cannot possess an amount of energy due to its mass Y) All objects have energy of being, or rest mass energy Z) Small relativistic objects all propagate at the speed of light","Y) ALL OBJECTS HAVE ENERGY OF BEING, OR REST MASS ENERGY"
bonus,,Short Answer,"16) PHYSICAL SCIENCE Short Answer When the force on a falling object is equal to the force of air friction on that object, it will fall at a constant rate. What is this rate called?",TERMINAL VELOCITY
toss-up,,Short Answer,17) GENERAL SCIENCE Short Answer What is the name of the warm water event originally recognized by anchovy fishermen off the coast of Peru that sometimes occurs near Christmas?,EL NIÑO
bonus,energy,Multiple Choice,"17) GENERAL SCIENCE Multiple Choice By crushing a tablet of medicine before you take it, you are changing the reaction rate by changing which of the following characteristics of the tablet? W) Surface area X) Amount of reactants Y) Activation energy Z) Km of the reaction",W) SURFACE AREA
toss-up,,Multiple Choice,18) EARTH AND SPACE Multiple Choice The spring 2011 earthquake in Japan occurred because Japan is located on which of the following? W) A spreading center X) A rift zone Y) A subduction zone Z) A mantle plume,Y) A SUBDUCTION ZONE
bonus,,Short Answer,18) EARTH AND SPACE Short Answer It is common for roads in mid latitudes to develop severe potholes after the spring thaw. What form of mechanical weathering is responsible?,"FREEZING AND THAWING (ACCEPT: FROST ACTION; FROST WEDGING; ICE
WEDGING)"
toss-up,math,Short Answer,Evaluate [the fraction with numerator 12 y and denominator 5 12𝑦 x] when y = 2 and x = 0. 5𝑥,UNDEFINED
bonus,math,Multiple Choice,Between which of the following two whole numbers does [the cube root of 515] fall? 3 √515 W) 5 and 6 X) 6 and 7 Y) 7 and 8 Z) 8 and 9,Z) 8 AND 9
toss-up,energy,Multiple Choice,Which of the following did NOT come from a once-living organism? W) Gasohol X) Crude oil Y) Uranium Z) Charcoal,Y) URANIUM
bonus,energy,Multiple Choice,Which of the following statements best describes a benefit of using alternative energy resources? W) It reduces the amount of fossil fuels that must be used X) It repairs the ozone layer Y) It reduces the amount of renewable resources used Z) It reduces the costs of producing energy,W) IT REDUCES THE AMOUNT OF FOSSIL FUELS THAT MUST BE USED
toss-up,,Multiple Choice,21) LIFE SCIENCE Multiple Choice Which of the following is NOT a source of food for polar bears in the wild? W) Emperor penguins X) Beluga whales Y) Walruses Z) Ringed seals,W) EMPEROR PENGUINS
bonus,,Short Answer,21) LIFE SCIENCE Short Answer What is the name of the organ found in birds and some invertebrates which is used to temporarily store food but also aids in preliminary digestion?,CROP
toss-up,,Short Answer,22) PHYSICAL SCIENCE Short Answer A substance with a pH of 2 has what pOH?,12
bonus,,Multiple Choice,"22) PHYSICAL SCIENCE Multiple Choice Should oxygen-17 undergo alpha decay, the resulting atom would have which of the following masses in amu? W) 11 X) 13 Y) 15 Z) 17",X) 13
toss-up,,Short Answer,23) GENERAL SCIENCE Short Answer What is the term for the part of the eye that contains various colored pigments?,IRIS
bonus,,Multiple Choice,23) GENERAL SCIENCE Multiple Choice A material with which of the following specific heats in joules per kilogram Kelvin will require the least heat to change its temperature? W) 10 X) 50 Y) 100 Z) 1000,W) 10
toss-up,,Multiple Choice,24) EARTH AND SPACE Multiple Choice Which of the following is the name for the hills made from glacial drift and deposited by meltwater from retreating glaciers? W) Kettle X) Drumlin Y) Kame Z) Esker,Y) KAME
bonus,,Short Answer,"24) EARTH AND SPACE Short Answer Disappearing streams, dolines, sink holes, and caves are distinctive features in northern Florida, central Tennessee, and south-central Kentucky and, are indicative of what kind of topography?",KARST
toss-up,math,Short Answer,"What is twenty and 55 hundredths expressed as a decimal, a mixed number in simplest form, and a percent?","20.55, 20 11/20, 2055%"
bonus,math,Multiple Choice,"For positive values of x, the function f(x) = [the fraction with 6 3 𝑥 − 𝑥 numerator x to the sixth minus x cubed and denominator x squared] is which of the 2 𝑥 following types? W) Quartic X) Cubic Y) Hyperbolic Z) Parabolic",W) QUARTIC
